"longitude","latitude","species","country","state_province","county","locality","date_collected","datasource","dataset","dataowner","custodial_institution_codes","collection_code","datasource_id","catalog_number","recorded_by","record_number","identified_by","date_identified","identification_remarks","observation_type","Year","pmaxPrecision","folds","within_range","within_buffer"
-102.675,27.258333,"Fraxinus greggii","Mexico","Coahuila","Ocampo","SIERRA DEL CARMEN, RANCHO MORTEROS Y RANCHO SAN ISIDORO, APROX. 178 KM DE MUZQUIZ POR LA BRECHA MUZQUIZ-BOQUILLAS DEL CARMEN (CARR. 53)","1992/03/27","GBIF","INECOL","INECOL","INECOL","IEB",616,1893724287,"M.A. Carranza; et al.","","J.A. Villarreal O.",NA,NA,"specimen",1992,20.6401623246221,1,0,4
-109.18861,30.83611,"Fraxinus greggii","Mexico","Sonora","Agua Prieta","E of Colonia Morelos","1976/03/25","GBIF","UCR","UCR","UCR","",4853,2422378431,"Grady L. Webster","21327","",NA,NA,"specimen",1976,20.3383932789032,1,0,1
-101.358333,26.391667,"Fraxinus greggii","Mexico","Coahuila","Castanos","2 Km S de Santa Teresa, al entrar el Cañón de la Muralla","1961/02/03","GBIF","IBUNAM","IBUNAM","IBUNAM","MEXU",2859,1893423880,"J. A. de la Cruz","","J. Rzedowski R.",NA,NA,"specimen",1961,20.7089063459682,1,0,4
-110.802778,30.514444,"Fraxinus greggii","Mexico","Sonora","","Base and lower slopes of Sierra Baviso, 14 miles SE of Magdelena on road to Cucurpe.","1978/07/29","GBIF","DES","DES","DES","",4343,1846512095,"R. G. Engard; W. Hodgson, S. Salter","1086","",NA,NA,"specimen",1978,20.3666555697887,1,0,1
-98.5751451144527,23.7596854102403,"Fraxinus greggii","Mexico","Tamaulipas","Casas","11 mi E of Casas on the rd to Soto la Martina","1959/09/27","GBIF","CNS-UT","CNS-UT","CNS-UT","TEX",2075,1895521945,"J. Graham; M. C. Johnston","","J. Graham",NA,NA,"specimen",1959,0.209064375299841,1,1,4
-96.704444,19.438333,"Fraxinus greggii","Mexico","Veracruz","Emiliano Zapata","Cerro Gordo, carretera Xalapa-Veracruz","1972/10/26","GBIF","INECOL","INECOL","INECOL","XAL",616,2629700433,"J. Dorantes L.; M. Acosta; A. Calles; W. Márquez R.","","NO DISPONIBLE",NA,NA,"specimen",1972,21.1921350957462,1,0,1
-108.994828263319,31.273355942211,"Fraxinus greggii","Mexico","Sonora","","About 1 mile upstrea m from road entrance to Cajón Bonito, Edo. de Sonora.","1976/05/01","GBIF","NYBG","NYBG","NYBG","NY",761,1893423910,"C. T. Mason Jr.","","NO DISPONIBLE",NA,NA,"specimen",1976,0.202995830961545,1,0,1
-105.111586,28.742033,"Fraxinus greggii","Mexico","Chihuahua","Julimes","Ca 31 (air) mi NW of Julimes, in a SW facing canyon above Rancho El Recuerdo in Sa de Carrasco (S of Sa de Chorreras)","1973/09/15","GBIF","CNS-UT","CNS-UT","CNS-UT","TEX",2075,1895521908,"J. S. Henrickson; S. Sundberg","","J. S. Henrickson; S. Sundberg",NA,NA,"specimen",1973,0.205183843200114,1,0,4
-99.65,20.383333,"Fraxinus greggii","Mexico","Hidalgo","","Municipio de Huichapan, ruta 45 de Cazadera a Rinconada, cerca del limite con Queretaro, a Presa Madeno.","1981/04/28","GBIF","DES","DES","DES","",4343,1846512048,"David H. Lorence; D. L Venable","3332","",NA,NA,"specimen",1981,21.1339779902268,1,1,1
-101.469444,25.989167,"Fraxinus greggii","Mexico","Coahuila","Ramos Arizpe","Sierra de la Paila, camino a El Cedral","2004/05/20","GBIF","INECOL","INECOL","INECOL","IEB",616,1897359703,"J. A. Villarreal Q.; I. Ramírez S.","","J. A. Villarreal Q.",NA,NA,"specimen",2004,20.740225909459,1,1,4
